126.5657542,1.217715973
99.25976837,1.407911399
100.3867079,1.603134581
87.49653448,1.717220155
80.40249635,1.797752799
69.30575968,1.757025139
67.89880624,2.000656974
79.60965189,2.047031995
100.517138,2.047031995
120.3691571,2.062727998
59.85214694,2.440187984
51.64611995,2.908854093
47.9605901,2.999102223
32.3905582,2.821321683
30.10110551,3.337597239
48.00147459,3.520912698
30.4428565,3.800393656
67.45332011,4.261755947
40.99848052,4.495830251
22.64439823,4.46161994
22.89591514,4.852697646
40.16781367,5.158481709
35.00295616,5.318525257
28.63782637,6.05600023
24.9433694,5.697013136
30.20510238,6.388622288
28.06101333,7.109677004
52.97575384,6.437608253
40.22979578,6.895734627
53.02091356,7.557680584
26.92015199,8.410681588
0,1.621
140,1.621
